시설명,객실수,위치/주소,유형,체인여부,구역,방문우선순위,담당자명,담당자직함,연락처(전화),연락처(이메일),선컨택일,선컨택결과(1/2/3),방문일,방문반응(Go/Pivot/No),비치여부,비치위치,메모,
밀리오레 호텔 서울 명동,,중구 명동8가길,호텔,독립,A,1,,,,,,,,,,,,['명동역 5·6번출구 연결. 대규모. 외국인 비율 높음']
사보이 호텔,,중구 명동8나길 10,호텔,독립,A,1,,,,,,,,,,,,['명동역 도보 2분. 3성급']
라인 호텔 명동,,중구 명동3길 36,호텔,독립,A,1,,,,,,,,,,,,['을지로입구역 5번출구 도보 1분. 94객실']
호텔28 명동,,중구 명동,호텔,독립,A,1,,,,,,,,,,,,['Small Luxury Hotels 멤버']
메트로 호텔 명동,,중구 명동,호텔,독립,A,1,,,,,,,,,,,,['1960년 개업. 정부등록 1호 관광호텔']
로얄호텔 서울,,중구 명동성당 앞,호텔,독립,A,1,,,,,,,,,,,,['미쉐린 가이드 시설 선정']
퍼시픽 호텔,,중구 명동역 3번출구,호텔,독립,A,1,,,,,,,,,,,,['']
더 그랜드 호텔 명동,,중구 명동8가길38,호텔,독립,A,1,,,,,,,,,,,,['명동역 10번출구 1분']
마요네 호텔 명동,,중구 명동,호텔,독립,A,1,,,,,,,,,,,,['명동역 2분']
칼리스타 호텔,,중구 명동성당 인근,호텔,독립,A,1,,,,,,,,,,,,['']
더 스테이 호텔 명동,,중구 명동,호텔,독립,A,1,,,,,,,,,,,,['명동역 8·9번출구 2분']
더 스테이 클래식 호텔 명동,,중구 명동,호텔,독립,A,1,,,,,,,,,,,,['더 스테이 계열']
미조 호텔,,중구 명동,호텔,독립,A,1,,,,,,,,,,,,['바·테라스 보유']
호텔 온유,,중구 명동성당 인근,호텔,독립,A,1,,,,,,,,,,,,['신규. 소규모']
드립앤드롭 명동,,중구 명동3길 44,호텔,독립,A,1,,,,,,,,,,,,['2024 오픈. 드립커피백 어메니티 콘셉트']
명동 뉴스테이 인,,중구 명동,호텔,독립,A,1,,,,,,,,,,,,['소형. 저가']
StayB 호텔 명동,,중구 명동역 인근,호텔,독립,A,1,,,,,,,,,,,,['']
크레토 호텔 명동,,중구 명동 쇼핑거리,호텔,독립,A,1,,,,,,,,,,,,['']
뉴 오리엔탈 호텔 명동,,중구 명동역 4번출구,호텔,독립,A,1,,,,,,,,,,,,['소규모']
호텔 도마 명동,,중구 명동 쇼핑거리,호텔,독립,A,1,,,,,,,,,,,,['']
솔라리아 니시테츠 호텔 명동,,중구 퇴계로,호텔,일본계(니시테츠),A,1,,,,,,,,,,,,['일본인 투숙객 다수']
소테츠 프레사 인 명동,,중구 명동길,호텔,일본계(소테츠),A,1,,,,,,,,,,,,['']
헨나 호텔 서울 명동,,중구 명동,호텔,일본계(H.I.S.),A,1,,,,,,,,,,,,['로봇 체크인 컨셉']
퍼스트 캐빈 명동,,중구 명동2길 (눈스퀘어 7층),캡슐호텔,일본체인(First Cabin),A,1,,,,,,,,,,,,['2026 상반기 오픈 예정. 日 3대 캡슐브랜드']
슬립박스,,중구 명동 중심,캡슐호텔,독립,A,1,,,,,,,,,,,,['캡슐형. 공유라운지·테라스']
318 스테이,,중구 명동,게스트하우스,독립,A,1,,,,,,,,,,,,['2023년 건물. 조식 포함']
DADU 하우스,,중구 명동,게스트하우스,독립,A,1,,,,,,,,,,,,['공유주방·테라스']
수 게스트하우스,,중구 명동 중심,게스트하우스,독립,A,1,,,,,,,,,,,,['소규모']
우후스테이 명동,,중구 명동,게스트하우스,독립,A,1,,,,,,,,,,,,['']
로드하우스 명동 게스트하우스,,중구 명동성당 인근,게스트하우스,독립,A,1,,,,,,,,,,,,['']
스텝인 명동 게스트하우스,,중구 명동역 1분,게스트하우스,독립,A,1,,,,,,,,,,,,['']
명동 게스트하우스 꼬모,,중구 명동역 1번출구,게스트하우스,독립,A,1,,,,,,,,,,,,['공항버스 정류장 3분']
명동 선샤인 게스트하우스,,중구 명동,게스트하우스,독립,A,1,,,,,,,,,,,,['']
DH 명동 게스트하우스,,중구 명동,게스트하우스,독립,A,1,,,,,,,,,,,,['']
아트레블 명동,,중구 명동성당 도보 7분,게스트하우스,독립,A,1,,,,,,,,,,,,['정원 보유. 외국인 인기']
arr.dep,,중구 명동 인근,게스트하우스,독립,A,1,,,,,,,,,,,,['2025.7 오픈. 3층 8실. 북유럽 미니멀']
명동 미스코리아 게스트하우스,,중구 퇴계로 인근,게스트하우스,독립,A,1,,,,,,,,,,,,['OYO 편입 이력 있음. 현황 확인 필요']
24게스트하우스 명동시티,,중구 명동,게스트하우스,체인(24GH),A,1,,,,,,,,,,,,['']
24게스트하우스 명동타운,,중구 회현역 1분,게스트하우스,체인(24GH),A,1,,,,,,,,,,,,['']
24게스트하우스 명동에비뉴,,중구 명동,게스트하우스,체인(24GH),A,1,,,,,,,,,,,,['']
K게스트하우스 명동 1,,중구 명동역 2분,게스트하우스,체인(K-GH),A,1,,,,,,,,,,,,['굿스테이 인증']
K게스트하우스 명동 2,,중구 명동,게스트하우스,체인(K-GH),A,1,,,,,,,,,,,,['']
K게스트하우스 명동 3,,중구 명동,게스트하우스,체인(K-GH),A,1,,,,,,,,,,,,['']
필스테이 명동 부티크,,중구 명동,게스트하우스,체인(필스테이),A,1,,,,,,,,,,,,['여성 전용']
필스테이 명동 메트로,,중구 명동역 인근,게스트하우스,체인(필스테이),A,1,,,,,,,,,,,,['명동역 1분']
필스테이 명동 스테이션,,중구 명동역 바로 앞,게스트하우스,체인(필스테이),A,1,,,,,,,,,,,,['']
57 명동 호스텔,,중구 명동,호스텔,독립,A,1,,,,,,,,,,,,['한국관광 품질인증']
유닛 M 호스텔,,중구 명동역 7분,호스텔,독립,A,1,,,,,,,,,,,,['']
보로 한옥 호스텔 명동,,중구 명동,호스텔,독립,A,1,,,,,,,,,,,,['한옥 컨셉']
스텝인 명동 2,,중구 명동,호스텔,독립,A,1,,,,,,,,,,,,['Step Inn 2호점. 무료 조식']
명동 루프탑 호스텔,,중구 명동역 5분,호스텔,독립,A,1,,,,,,,,,,,,['루프탑 보유']
블루보트 호스텔 명동,,중구 명동,호스텔,독립,A,1,,,,,,,,,,,,['배낭여행자 인기']
OYO 호스텔 명동 1,,중구 명동,호스텔,체인(OYO),A,1,,,,,,,,,,,,['구 K-Grand Hostel']
OYO 호스텔 명동 3,,중구 명동,호스텔,체인(OYO),A,1,,,,,,,,,,,,['']
OYO 호스텔 명동 5,,중구 퇴계로18길 43,호스텔,체인(OYO),A,1,,,,,,,,,,,,['구 Miss Korea Guesthouse']
명동 루프탑 OYO 호스텔,,중구 명동,호스텔,체인(OYO),A,1,,,,,,,,,,,,['']
솔라고 명동 호텔 앤 레지던스,,중구 명동,레지던스,독립,A,1,,,,,,,,,,,,['레지던스 겸용']
소라지 호텔 & 아파트먼트 명동,,중구 명동~충무로,레지던스,독립,A,1,,,,,,,,,,,,['2023 오픈. 장단기 겸용']
