시설명,객실수,위치/주소,유형,체인여부,구역,방문우선순위,담당자명,담당자직함,연락처(전화),연락처(이메일),선컨택일,선컨택결과(1/2/3),방문일,방문반응(Go/Pivot/No),비치여부,비치위치,메모,slug
,,,,,,,,,,,,,,,,,※ 방문우선순위: 1=독립·일본계(먼저) / 2=소규모체인 / 3=대형체인·5성급(후순위),
,,,,,,,,,,,,,,,,,※ 선컨택결과: 1=미팅즉시확정(★★★) / 2=유보·꺼림(★★☆) / 3=명확거절(★☆☆),
,,,,,,,,,,,,,,,,,,
== 독립 호텔 ==,,,,,,,,,,,,,,,,,,
밀리오레 호텔 서울 명동,,중구 명동8가길,호텔,독립,A,1,,,,,,,,,,,,milliore_hotel_seoul_myeongdon
사보이 호텔,,중구 명동8나길 10,호텔,독립,A,1,,,,,,,,,,,,savoy_hotel
라인 호텔 명동,,중구 명동3길 36,호텔,독립,A,1,,,,,,,,,,,,line_hotel_myeongdong
호텔28 명동,,중구 명동,호텔,독립,A,1,,,,,,,,,,,,hotel28_myeongdong
메트로 호텔 명동,,중구 명동,호텔,독립,A,1,,,,,,,,,,,,metro_hotel_myeongdong
로얄호텔 서울,,중구 명동성당 앞,호텔,독립,A,1,,,,,,,,,,,,royalhotel_seoul
퍼시픽 호텔,,중구 명동역 3번출구,호텔,독립,A,1,,,,,,,,,,,,pacific_hotel
더 그랜드 호텔 명동,,중구 명동8가길38,호텔,독립,A,1,,,,,,,,,,,,grand_hotel_myeongdong
마요네 호텔 명동,,중구 명동,호텔,독립,A,1,,,,,,,,,,,,mayonne_hotel_myeongdong
칼리스타 호텔,,중구 명동성당 인근,호텔,독립,A,1,,,,,,,,,,,,callista_hotel
더 스테이 호텔 명동,,중구 명동,호텔,독립,A,1,,,,,,,,,,,,stay_hotel_myeongdong
더 스테이 클래식 호텔 명동,,중구 명동,호텔,독립,A,1,,,,,,,,,,,,stay_hotel_myeongdong
미조 호텔,,중구 명동,호텔,독립,A,1,,,,,,,,,,,,mizo_hotel
호텔 온유,,중구 명동성당 인근,호텔,독립,A,1,,,,,,,,,,,,hotel_onyu
드립앤드롭 명동,,중구 명동3길 44,호텔,독립,A,1,,,,,,,,,,,,myeongdong
명동 뉴스테이 인,,중구 명동,호텔,독립,A,1,,,,,,,,,,,,myeongdong_stay
빅박스스테이 명동,,중구 명동,호텔,독립,미상,1,,,,,,,,,,,,
StayB 호텔 명동,,중구 명동역 인근,호텔,독립,A,1,,,,,,,,,,,,stayb_hotel_myeongdong
크레토 호텔 명동,,중구 명동 쇼핑거리,호텔,독립,A,1,,,,,,,,,,,,hotel_myeongdong
뉴 오리엔탈 호텔 명동,,중구 명동역 4번출구,호텔,독립,A,1,,,,,,,,,,,,hotel_myeongdong
호텔 도마 명동,,중구 명동 쇼핑거리,호텔,독립,A,1,,,,,,,,,,,,hotel_myeongdong
스탠포드 호텔 명동,,중구 남대문로,호텔,독립,B,1,,,,,,,,,,,,
디어스 명동,,중구 퇴계로,호텔,독립,B,1,,,,,,,,,,,,
세종 호텔,,중구 퇴계로145,호텔,독립,B,1,,,,,,,,,,,,
프레지던트 호텔,,중구 을지로16,호텔,독립,B,1,,,,,,,,,,,,
G3 호텔 충무로,,중구 충무로역 6번출구,호텔,독립,B,1,,,,,,,,,,,,
호텔 국도,,중구 을지로 164,호텔,독립,B,1,,,,,,,,,,,,
인더시티 비즈니스 호텔,,중구 을지로 인근,호텔,독립,B,1,,,,,,,,,,,,
코리아나 호텔,,중구 태평로,호텔,독립,미상,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
== 일본계 호텔 ==,,,,,,,,,,,,,,,,,,
솔라리아 니시테츠 호텔 명동,,중구 퇴계로,호텔,일본계(니시테츠),A,1,,,,,,,,,,,,solaria_hotel_myeongdong
소테츠 프레사 인 명동,,중구 명동길,호텔,일본계(소테츠),A,1,,,,,,,,,,,,sotetsu_myeongdong
헨나 호텔 서울 명동,,중구 명동,호텔,일본계(H.I.S.),A,1,,,,,,,,,,,,henna_hotel_seoul_myeongdong
퍼스트 캐빈 명동,,중구 명동2길 (눈스퀘어 7층),캡슐호텔,일본체인(First Cabin),A,1,,,,,,,,,,,,myeongdong
,,,,,,,,,,,,,,,,,,
== 캡슐호텔 ==,,,,,,,,,,,,,,,,,,
더 캡슐 명동,,중구 을지로4가 인근,캡슐호텔,독립,B,1,,,,,,,,,,,,
슬립박스,,중구 명동 중심,캡슐호텔,독립,A,1,,,,,,,,,,,,sleepbox
,,,,,,,,,,,,,,,,,,
== 게스트하우스 (독립) ==,,,,,,,,,,,,,,,,,,
318 스테이,,중구 명동,게스트하우스,독립,A,1,,,,,,,,,,,,318_stay
DADU 하우스,,중구 명동,게스트하우스,독립,A,1,,,,,,,,,,,,dadu
