국가,방한 외래관광객,전년동기 관광객,전년대비 증감률,구성비,순위
총계,1739164.0,1600481.0,8.7,0.0,0
중국,472477.0,392230.0,20.5,27.2,1
일본,316776.0,323266.0,-2.0,18.2,2
대만,161049.0,133433.0,20.7,9.3,3
미국,148951.0,141152.0,5.5,8.6,4
필리핀,62811.0,58724.0,7.0,3.6,5
베트남,50483.0,48535.0,4.0,2.9,6
홍콩,44671.0,52439.0,-14.8,2.6,7
태국,40937.0,40167.0,1.9,2.4,8
싱가포르,39995.0,40841.0,-2.1,2.3,9
말레이시아,34016.0,37050.0,-8.2,2.0,10
인도네시아,33323.0,34338.0,-3.0,1.9,11
캐나다,30938.0,28986.0,6.7,1.8,12
호주,27259.0,26742.0,1.9,1.6,13
러시아,23822.0,20870.0,14.1,1.4,14
프랑스,20693.0,19038.0,8.7,1.2,15
독일,19677.0,17690.0,11.2,1.1,16
영국,19206.0,16646.0,15.4,1.1,17
인도,17400.0,16591.0,4.9,1.0,18
몽골,13805.0,12472.0,10.7,0.8,19
멕시코,9909.0,10446.0,-5.1,0.6,20
미얀마,7873.0,6967.0,13.0,0.5,21
이탈리아,7653.0,6790.0,12.7,0.4,22
네덜란드,6408.0,5917.0,8.3,0.4,23
스페인,6147.0,5364.0,14.6,0.4,24
카자흐스탄,6014.0,5008.0,20.1,0.3,25
튀르키예,6007.0,4545.0,32.2,0.3,26
우즈베키스탄,5960.0,4501.0,32.4,0.3,27
폴란드,5362.0,4623.0,16.0,0.3,28
브라질,4967.0,4174.0,19.0,0.3,29
캄보디아,4889.0,4536.0,7.8,0.3,30
이스라엘,4707.0,2811.0,67.4,0.3,31
뉴질랜드,4453.0,4838.0,-8.0,0.3,32
스위스,3820.0,3306.0,15.5,0.2,33
네팔,3754.0,2905.0,29.2,0.2,34
스웨덴,3175.0,2381.0,33.3,0.2,35
방글라데시,3117.0,1766.0,76.5,0.2,36
마카오,3110.0,3297.0,-5.7,0.2,37
라오스,3045.0,1621.0,87.8,0.2,38
스리랑카,3007.0,2007.0,49.8,0.2,39
덴마크,2666.0,2055.0,29.7,0.2,40
벨기에,2521.0,2332.0,8.1,0.1,41
교포,2357.0,3414.0,-31.0,0.1,42
우크라이나,2269.0,2207.0,2.8,0.1,43
사우디아라비아,2157.0,1772.0,21.7,0.1,44
루마니아,2139.0,1961.0,9.1,0.1,45
남아프리카공화국,2121.0,1655.0,28.2,0.1,46
포르투갈,1977.0,1542.0,28.2,0.1,47
콜롬비아,1924.0,1614.0,19.2,0.1,48
오스트리아,1771.0,1613.0,9.8,0.1,49
아일랜드,1754.0,1449.0,21.0,0.1,50
핀란드,1609.0,1475.0,9.1,0.1,51
노르웨이,1571.0,1116.0,40.8,0.1,52
파키스탄,1491.0,1134.0,31.5,0.1,53
체코,1484.0,1266.0,17.2,0.1,54
키르기스스탄,1311.0,942.0,39.2,0.1,55
아르헨티나,1169.0,897.0,30.3,0.1,56
헝가리,1160.0,1147.0,1.1,0.1,57
그리스,1143.0,965.0,18.4,0.1,58
칠레,1067.0,779.0,37.0,0.1,59
아랍에미리트,1041.0,828.0,25.7,0.1,60
에티오피아,891.0,909.0,-2.0,0.1,61
페루,872.0,581.0,50.1,0.1,62
이집트,814.0,666.0,22.2,0.0,63
불가리아,784.0,759.0,3.3,0.0,64
리투아니아,693.0,581.0,19.3,0.0,65
케냐,646.0,481.0,34.3,0.0,66
크로아티아,620.0,687.0,-9.8,0.0,67
모로코,611.0,504.0,21.2,0.0,68
슬로바키아,564.0,496.0,13.7,0.0,69
브루나이,553.0,595.0,-7.1,0.0,70
세르비아,527.0,490.0,7.6,0.0,71
타지키스탄,497.0,849.0,-41.5,0.0,72
에콰도르,468.0,463.0,1.1,0.0,73
코스타리카,393.0,319.0,23.2,0.0,74
쿠웨이트,377.0,452.0,-16.6,0.0,75
짐바브웨,377.0,333.0,13.2,0.0,75
이란,361.0,279.0,29.4,0.0,77
튀니지,354.0,316.0,12.0,0.0,78
라트비아,331.0,373.0,-11.3,0.0,79
요르단,313.0,255.0,22.7,0.0,80
슬로베니아,312.0,232.0,34.5,0.0,81
시리아,310.0,233.0,33.0,0.0,82
리비아,305.0,224.0,36.2,0.0,83
에스토니아,304.0,282.0,7.8,0.0,84
마다가스카르,300.0,145.0,106.9,0.0,85
벨라루스,280.0,226.0,23.9,0.0,86
도미니카 공화국,276.0,190.0,45.3,0.0,87
이라크,271.0,304.0,-10.9,0.0,88
베네수엘라,251.0,229.0,9.6,0.0,89
과테말라,248.0,249.0,-0.4,0.0,90
알제리,245.0,179.0,36.9,0.0,91
몬테네그로,243.0,195.0,24.6,0.0,92
오만,220.0,184.0,19.6,0.0,93
동티모로,220.0,94.0,134.0,0.0,93
파나마,220.0,204.0,7.8,0.0,93
카타르,219.0,253.0,-13.4,0.0,96
나이지리아,213.0,230.0,-7.4,0.0,97
투르크메니스탄,211.0,70.0,201.4,0.0,98
가나,208.0,226.0,-8.0,0.0,99
바하마,192.0,32.0,500.0,0.0,100
온두라스,185.0,174.0,6.3,0.0,101
모리셔스,175.0,204.0,-14.2,0.0,102
엘살바도르,170.0,86.0,97.7,0.0,103
룩셈부르크,170.0,155.0,9.7,0.0,103
키프로스,162.0,129.0,25.6,0.0,105
아제르바이잔,152.0,156.0,-2.6,0.0,106
조지아,144.0,218.0,-33.9,0.0,107
그루지아,144.0,218.0,-33.9,0.0,107
파라과이,135.0,147.0,-8.2,0.0,109
자메이카,133.0,158.0,-15.8,0.0,110
알바니아,131.0,98.0,33.7,0.0,111
레바논,114.0,115.0,-0.9,0.0,112
예멘,114.0,91.0,25.3,0.0,112
아시아 기타,104.0,148.0,-29.7,0.0,114
탄자니아,101.0,147.0,-31.3,0.0,115
우간다,99.0,94.0,5.3,0.0,116
바레인,98.0,200.0,-51.0,0.0,117
유고슬라비아,91.0,53.0,71.7,0.0,118
몰타,90.0,94.0,-4.3,0.0,119
르완다,90.0,68.0,32.4,0.0,119
몰도바,80.0,71.0,12.7,0.0,121
피지,78.0,112.0,-30.4,0.0,122
아이슬란드,76.0,70.0,8.6,0.0,123
아르메니아,74.0,37.0,100.0,0.0,124
우르과이,73.0,100.0,-27.0,0.0,125
니카라과,70.0,38.0,84.2,0.0,126
부탄,69.0,77.0,-10.4,0.0,127
트리니다드ㆍ토바고,67.0,78.0,-14.1,0.0,128
모잠비크,67.0,13.0,415.4,0.0,128
파푸아뉴기니,66.0,83.0,-20.5,0.0,130
도미니카연방,65.0,61.0,6.6,0.0,131
세인트 킷츠 네비스,59.0,74.0,-20.3,0.0,132
볼리비아,56.0,42.0,33.3,0.0,133
세네갈,50.0,60.0,-16.7,0.0,134
쿠바,48.0,56.0,-14.3,0.0,135
서사모아,45.0,36.0,25.0,0.0,136
수단,44.0,29.0,51.7,0.0,137
그레나다,43.0,44.0,-2.3,0.0,138
카메룬,43.0,77.0,-44.2,0.0,138
코트디부아르,43.0,87.0,-50.6,0.0,138
콩고민주공화국,41.0,52.0,-21.2,0.0,141
감비아,41.0,21.0,95.2,0.0,141
보스니아ㆍ헤르체고비나,41.0,15.0,173.3,0.0,141
잠비아,39.0,29.0,34.5,0.0,144
부룬디,37.0,18.0,105.6,0.0,145
미크로네시아,31.0,48.0,-35.4,0.0,146
세인트 루치아,28.0,42.0,-33.3,0.0,147
