국가,방한 외래관광객,전년동기 관광객,전년대비 증감률,구성비,순위
총계,1703033.0,1464483.0,16.3,0.0,0
중국,503186.0,422809.0,19.0,29.6,1
일본,370709.0,310652.0,19.3,21.8,2
대만,154992.0,126130.0,22.9,9.1,3
미국,121682.0,109695.0,10.9,7.2,4
필리핀,47625.0,40278.0,18.2,2.8,5
베트남,46001.0,44680.0,3.0,2.7,6
홍콩,40879.0,40033.0,2.1,2.4,7
말레이시아,31359.0,29347.0,6.9,1.8,8
싱가포르,29816.0,26006.0,14.7,1.8,9
캐나다,27534.0,22871.0,20.4,1.6,10
인도네시아,26703.0,27238.0,-2.0,1.6,11
호주,25954.0,22366.0,16.0,1.5,12
태국,21535.0,18868.0,14.1,1.3,13
러시아,19476.0,18242.0,6.8,1.1,14
인도,19353.0,17071.0,13.4,1.1,15
독일,19312.0,16795.0,15.0,1.1,16
영국,16239.0,13383.0,21.3,1.0,17
프랑스,16097.0,14137.0,13.9,0.9,18
몽골,13727.0,14415.0,-4.8,0.8,19
멕시코,8869.0,8333.0,6.4,0.5,20
우즈베키스탄,8449.0,7293.0,15.9,0.5,21
이탈리아,7502.0,5703.0,31.5,0.4,22
미얀마,7323.0,7513.0,-2.5,0.4,23
폴란드,6748.0,5130.0,31.5,0.4,24
네덜란드,6184.0,5191.0,19.1,0.4,25
튀르키예,6022.0,4147.0,45.2,0.4,26
스페인,6005.0,4912.0,22.3,0.4,27
카자흐스탄,5607.0,4832.0,16.0,0.3,28
뉴질랜드,4639.0,3630.0,27.8,0.3,29
네팔,4029.0,3680.0,9.5,0.2,30
이스라엘,3885.0,1632.0,138.1,0.2,31
브라질,3751.0,2759.0,36.0,0.2,32
캄보디아,3303.0,3171.0,4.2,0.2,33
스위스,3294.0,2767.0,19.0,0.2,34
마카오,2783.0,2816.0,-1.2,0.2,35
스리랑카,2681.0,2786.0,-3.8,0.2,36
벨기에,2570.0,2213.0,16.1,0.2,37
스웨덴,2527.0,1955.0,29.3,0.1,38
방글라데시,2242.0,2592.0,-13.5,0.1,39
교포,2096.0,3006.0,-30.3,0.1,40
우크라이나,2090.0,2085.0,0.2,0.1,41
덴마크,1992.0,1501.0,32.7,0.1,42
오스트리아,1977.0,1646.0,20.1,0.1,43
루마니아,1865.0,1556.0,19.9,0.1,44
라오스,1862.0,1328.0,40.2,0.1,45
콜롬비아,1679.0,1263.0,32.9,0.1,46
사우디아라비아,1678.0,1607.0,4.4,0.1,47
포르투갈,1660.0,1294.0,28.3,0.1,48
남아프리카공화국,1590.0,1604.0,-0.9,0.1,49
아일랜드,1571.0,1239.0,26.8,0.1,50
노르웨이,1533.0,1150.0,33.3,0.1,51
핀란드,1488.0,1194.0,24.6,0.1,52
키르기스스탄,1451.0,1317.0,10.2,0.1,53
파키스탄,1383.0,1603.0,-13.7,0.1,54
체코,1275.0,917.0,39.0,0.1,55
그리스,1174.0,931.0,26.1,0.1,56
헝가리,941.0,774.0,21.6,0.1,57
칠레,924.0,776.0,19.1,0.1,58
타지키스탄,910.0,554.0,64.3,0.1,59
아르헨티나,874.0,773.0,13.1,0.1,60
에티오피아,824.0,914.0,-9.8,0.0,61
불가리아,804.0,682.0,17.9,0.0,62
크로아티아,777.0,613.0,26.8,0.0,63
페루,772.0,585.0,32.0,0.0,64
슬로바키아,708.0,526.0,34.6,0.0,65
이집트,706.0,779.0,-9.4,0.0,66
아랍에미리트,598.0,609.0,-1.8,0.0,67
모로코,566.0,475.0,19.2,0.0,68
리투아니아,563.0,434.0,29.7,0.0,69
이란,527.0,435.0,21.1,0.0,70
케냐,525.0,544.0,-3.5,0.0,71
세르비아,501.0,439.0,14.1,0.0,72
슬로베니아,441.0,227.0,94.3,0.0,73
브루나이,426.0,402.0,6.0,0.0,74
에콰도르,400.0,350.0,14.3,0.0,75
라트비아,381.0,326.0,16.9,0.0,76
짐바브웨,343.0,264.0,29.9,0.0,77
튀니지,340.0,282.0,20.6,0.0,78
코스타리카,317.0,250.0,26.8,0.0,79
쿠웨이트,307.0,317.0,-3.2,0.0,80
시리아,306.0,263.0,16.3,0.0,81
베네수엘라,283.0,208.0,36.1,0.0,82
이라크,266.0,175.0,52.0,0.0,83
리비아,263.0,173.0,52.0,0.0,84
에스토니아,260.0,217.0,19.8,0.0,85
요르단,251.0,291.0,-13.7,0.0,86
마다가스카르,244.0,212.0,15.1,0.0,87
나이지리아,238.0,287.0,-17.1,0.0,88
과테말라,235.0,169.0,39.1,0.0,89
몬테네그로,232.0,207.0,12.1,0.0,90
온두라스,224.0,193.0,16.1,0.0,91
도미니카 공화국,222.0,157.0,41.4,0.0,92
가나,222.0,315.0,-29.5,0.0,92
벨라루스,220.0,228.0,-3.5,0.0,94
조지아,220.0,183.0,20.2,0.0,94
그루지아,220.0,183.0,20.2,0.0,94
동티모로,219.0,362.0,-39.5,0.0,97
투르크메니스탄,200.0,111.0,80.2,0.0,98
탄자니아,199.0,159.0,25.2,0.0,99
오만,192.0,202.0,-5.0,0.0,100
아제르바이잔,189.0,179.0,5.6,0.0,101
룩셈부르크,183.0,147.0,24.5,0.0,102
모리셔스,181.0,145.0,24.8,0.0,103
파나마,167.0,107.0,56.1,0.0,104
알제리,152.0,183.0,-16.9,0.0,105
키프로스,149.0,127.0,17.3,0.0,106
엘살바도르,148.0,132.0,12.1,0.0,107
카타르,146.0,169.0,-13.6,0.0,108
아시아 기타,135.0,106.0,27.4,0.0,109
자메이카,126.0,122.0,3.3,0.0,110
몰타,123.0,84.0,46.4,0.0,111
알바니아,116.0,98.0,18.4,0.0,112
